Sample	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100	102	104	106	108	110	112	114	116	118	120	122	124	126	128	130	132	134	136	138
H3B_M_1_MKRN240023765-1A_22HGLTLT4_L2_1 - illumina_universal_adapter	3.04012610586e-05	3.04012610586e-05	4.29194273769e-05	5.90142126432e-05	5.90142126432e-05	6.25908315913e-05	6.61674505393e-05	6.97440694874e-05	8.04739263316e-05	0.000113557651601	0.000149323841082	0.0001859841853	0.000223538684255	0.000271823040054	0.00042293519061	0.000488208486412	0.000566894103269	0.000665251124341	0.000876271642278	0.00132424316552	0.0020628149783	0.00311165848482	0.00486151930517	0.00784978443628	0.0118994112402	0.0168467694002	0.0226855998329	0.0303324111439	0.0413519741229	0.0558793061352	0.0724488875669	0.0901835526209	0.110821538106	0.137692676263	0.170078066683	0.204505706522	0.240562496293	0.278845731358	0.322879275537	0.373493798581	0.428823199553	0.487825788184	0.550675924649	0.61824988059	0.692415545252	0.771920207849	0.856978465517	0.946112280477	1.03946918826	1.13817940045	1.24252278749	1.35187791183	1.46501709901	1.58112666823	1.70138332712	1.82780071215	1.95844387247	2.09167113997	2.2273376616	2.36664875794	2.51041095656	2.65847225115	2.80873853133	2.96275400231	3.12089599741	3.28226767942	3.44748333264	3.61624520355	3.78830650544	3.96462934881	4.14474251411	4.32821770121	4.51670730809	4.70864656393
H3B_M_1_MKRN240023765-1A_22HGLTLT4_L2_1 - polya	0.00159159543189	0.00331373745539	0.00401117815026	0.00538102320737	0.00622152866017	0.00705845749402	0.00802593291947	0.0104580338042	0.0145157080008	0.0176318372593	0.0204761434777	0.025673864964	0.0326670491622	0.0367390298346	0.0410130894775	0.0455938441953	0.0501540333541	0.055067413634	0.0590973690337	0.0623574572049	0.0654503384403	0.0693935608305	0.0725257848743	0.0757769314981	0.0796486215094	0.0834568265343	0.0868474612971	0.0906601370957	0.0939828160985	0.0972017731518	0.101517858067	0.106190710723	0.109922912595	0.113440517331	0.116654109456	0.120866472422	0.124410901799	0.128544579148	0.13311102739	0.137328755285	0.141320262031	0.144542795703	0.148284833278	0.151802438013	0.154434829559	0.157365868787	0.161698942642	0.167052247053	0.170940031849	0.174794732921	0.178386552499	0.182522912313	0.185558567645	0.188686320915	0.19147340123	0.194332908079	0.197435625017	0.200402430434	0.204042534369	0.206943172335	0.209592552821	0.21235191434	0.214984305885	0.21785811921	0.220303632416	0.222752722241	0.225410150119	0.228469947629	0.231446588749	0.234794304084	0.238376287961	0.242011026967	0.24519600614	0.247936590409
H3B_M_1_MKRN240023765-1A_22HGLTLT4_L2_1 - polyg	0.0	0.0	0.000112663496864	0.000214597136884	0.000286129515846	0.000456018915879	0.000572259031692	0.000740360122251	0.00116061284865	0.00151916889819	0.00188577234037	0.00214686552358	0.00248396185944	0.00304191441534	0.00375187327653	0.00417838508609	0.00456108331353	0.00478462199778	0.005079693061	0.00550083994214	0.00588711478853	0.00625997731386	0.00660512104235	0.00709154121929	0.00752073549306	0.00794456483841	0.00853202450063	0.00930993912183	0.0098044066914	0.010315863201	0.0107638347242	0.0113763307191	0.0118940463118	0.0123634775487	0.0128713574394	0.0132871393921	0.0137726654143	0.0142662388291	0.014909136085	0.0157040396462	0.0166205482517	0.0175191737624	0.0183963395594	0.0191474295385	0.0199164026123	0.0206764341388	0.0216251323148	0.0230754512982	0.0247215901691	0.0263194446841	0.027720585157	0.0292182943415	0.0313562183178	0.0339403255077	0.0371664357989	0.0408181637449	0.0452773134184	0.051419262307	0.0589668224421	0.06687919771	0.0752422269653	0.0867687756802	0.104295102681	0.129427109874	0.160484680509	0.19135447865	0.211486372554	0.2313053123	0.252921503068	0.278835895656	0.311058549914	0.353322561868	0.398690184915	0.444675668885
H3B_M_1_MKRN240023765-1A_22HGLTLT4_L2_2 - illumina_universal_adapter	3.39778800067e-05	3.39778800067e-05	4.8284355799e-05	6.25908315913e-05	6.25908315913e-05	6.61674505393e-05	6.97440694874e-05	7.33206884355e-05	8.40505452797e-05	0.000118922580023	0.000152006305293	0.000191349113722	0.000228903612677	0.000276293813739	0.000430088428506	0.000501620807467	0.000591930435906	0.00071353548014	0.000958533878083	0.00144853067397	0.00223270437833	0.00332714977644	0.00513781311891	0.00818062168898	0.0123080399551	0.0173305071129	0.0232596471741	0.0310074979703	0.042116476423	0.0567850848838	0.0734601765745	0.0913307531485	0.112018811299	0.138957011061	0.17139873323	0.20607941886	0.242417867372	0.281009585822	0.325326577052	0.376355093739	0.432108324057	0.491370217562	0.554397396665	0.622124253066	0.696585882946	0.776221986289	0.861418837941	0.950720753991	1.04419032527	1.14294971597	1.24708744742	1.35613498253	1.46898893435	1.58475961893	1.70458618939	1.83050642439	1.96085093702	2.09389579696	2.22939779412	2.36862126329	2.51234948403	2.66023194767	2.81021120418	2.96383145877	3.12133592154	3.28217379317	3.44657755389	3.61453647385	3.78586725132	3.96185121004	4.14175424897	4.32494956565	4.51313605407	4.70481600504
H3B_M_1_MKRN240023765-1A_22HGLTLT4_L2_2 - polya	0.00224254008044	0.00428836611874	0.00523080521156	0.00692612259294	0.00798659011105	0.00897016032177	0.010264896381	0.0131530161815	0.0181710125657	0.0217744561559	0.0248932678786	0.0302868092523	0.0373962335663	0.0416327387103	0.0460588046585	0.0510133160564	0.0558855652184	0.0612236689984	0.0653475106455	0.0688087836325	0.0722351845847	0.0764627481814	0.080017013261	0.0834148012617	0.0872847029635	0.0915641275349	0.0950611667113	0.0990285312795	0.102242123404	0.105508470659	0.109803990015	0.11436149671	0.118213515317	0.121910845155	0.125406096022	0.129975226728	0.133493725618	0.137598790016	0.142227829089	0.1464392979	0.150429016337	0.153639925998	0.157481214748	0.161280478225	0.16398619046	0.166851062237	0.171008881764	0.176126129324	0.17989677985	0.183740751065	0.18732631156	0.191243603463	0.194251539998	0.197133400716	0.200010790659	0.202855991033	0.205974802755	0.208898688745	0.212563829012	0.215425124171	0.21811295331	0.220924175803	0.223753281391	0.226720980964	0.229073502077	0.231418869952	0.234083451068	0.237020749379	0.239997390499	0.243446145319	0.247010246101	0.25061905462	0.254026678323	0.256774415829
H3B_M_1_MKRN240023765-1A_22HGLTLT4_L2_2 - polyg	0.051449663568	0.0523867377324	0.0527175749851	0.0530555654757	0.0534507818695	0.0539443552843	0.0545309207918	0.0551121213708	0.0559222255626	0.0567770374912	0.0577087467271	0.0582792174494	0.0587522253052	0.0592940830759	0.0599897354613	0.0605101335182	0.0609607875057	0.0612925189131	0.0617261839606	0.0621008347954	0.0625166167481	0.0630012486156	0.0633866293072	0.0638676845557	0.0643827176843	0.0649120572886	0.0654995169508	0.0662237822878	0.066773687451	0.0672860381153	0.0678270017312	0.068484205463	0.0690663001968	0.0695536145284	0.0701044138464	0.0707160156865	0.0713338766098	0.0719267012005	0.0725928464796	0.073441399325	0.074407086441	0.0752547451317	0.0761184986076	0.0768767418246	0.0775366280205	0.0781348175396	0.0787124414997	0.0794089880398	0.0805114808306	0.0813698693781	0.082012766634	0.0826055912247	0.0832824663606	0.0840514394344	0.0847792813904	0.0855411012263	0.0862912970507	0.0872122764298	0.088388089909	0.0896613662545	0.0912654798527	0.0936001178711	0.0968619943517	0.101532164543	0.107683054979	0.114209490405	0.122316791405	0.133566152152	0.149529496672	0.166917229688	0.185704314867	0.2066910207	0.232845940912	0.263177457901
H3B_M_2_MKRN240023766-1A_22HGLTLT4_L1_1 - illumina_universal_adapter	2.70057856572e-05	2.70057856572e-05	5.19342031869e-05	9.34815657365e-05	9.55589338639e-05	0.000105945774501	0.000114255247011	0.000118409983266	0.000139183664541	0.000181769711154	0.000209814180875	0.00025551627968	0.00030848916693	0.000365616790436	0.000434169938643	0.000533883608762	0.000652293592028	0.00078628383625	0.00104595485218	0.00154867793903	0.00236092887688	0.0034660887207	0.00525678004658	0.00823572594138	0.0123593016744	0.0170998557413	0.0224708910349	0.0295329039843	0.039876119891	0.0528679801602	0.0672963404896	0.0823811491473	0.09930754465	0.120852968184	0.14624048407	0.173380259971	0.201362408649	0.231030341561	0.264150860302	0.303071390854	0.345639779838	0.391685683068	0.44045709328	0.49344763816	0.552164448283	0.616642838908	0.686272063805	0.760789335906	0.84070568777	0.927026565571	1.02000748559	1.11896499371	1.22320005556	1.3322909654	1.44736054072	1.56934879059	1.69787347927	1.8312830991	1.968995987	2.11185036102	2.26017652269	2.41360054575	2.57136003609	2.73388085417	2.90031335644	3.07021506348	3.24436498835	3.42368652116	3.60572732886	3.79166112442	3.98120123106	4.17551928438	4.37465267703	4.57709323974
H3B_M_2_MKRN240023766-1A_22HGLTLT4_L1_1 - polya	0.00196311288047	0.00398854680476	0.00494413614339	0.00672236326051	0.00791477256569	0.00899292662385	0.0101147054127	0.0132702275983	0.0185093500158	0.0226557767983	0.0260076102719	0.0324090201568	0.0403206766703	0.045580572769	0.0507989215053	0.0566924148829	0.0623812875	0.0688138579067	0.0739657308629	0.0781152736975	0.0821547160214	0.0872920474006	0.0915828512679	0.0958913127643	0.10089984732	0.105959277394	0.110268777575	0.115018679798	0.118909590301	0.122877363424	0.128259824243	0.134074377631	0.13890218116	0.143395528419	0.147467169949	0.153045942056	0.157404260387	0.162471999934	0.168005069942	0.17296582503	0.177807131451	0.18177386589	0.18678343913	0.191375461376	0.194560066715	0.198240124353	0.203655823061	0.210471667888	0.215100044076	0.219910189975	0.224074274386	0.22896232159	0.232916591821	0.236595610775	0.240135446064	0.243454041647	0.247343913466	0.250974114269	0.25549342863	0.259030147867	0.26221059847	0.265511536425	0.268713799394	0.272148727592	0.275262702415	0.278366290398	0.281616332833	0.28527561679	0.288772866032	0.29270843995	0.29681851279	0.301340943204	0.305263014228	0.308671975326
H3B_M_2_MKRN240023766-1A_22HGLTLT4_L1_1 - polyg	0.0	0.0	0.000515187295614	0.000693840954577	0.000803941465334	0.00101791038246	0.00124226614023	0.0015123239968	0.00200466024302	0.00246168123106	0.00288961906532	0.00320330165257	0.00358138265177	0.00428561044698	0.00511759638204	0.00561512604857	0.00599216836371	0.00628507726968	0.00667458379358	0.00707032242187	0.00748267999517	0.00787530257126	0.00823780330951	0.00873948771229	0.00922143711787	0.00965768442464	0.0102736240744	0.0110630239629	0.0115626309975	0.0120902825019	0.0126252047947	0.0132608794417	0.0138529293581	0.0144574434832	0.0150401452429	0.015449386764	0.0159302974856	0.0164828774075	0.0171798344142	0.0180803734975	0.0190712780943	0.0200050550676	0.0210198493979	0.0217490056106	0.0224033765708	0.0231065656819	0.0239302421445	0.0251236901337	0.0266464009711	0.0280018836743	0.0291631324576	0.0303545030787	0.0320205523169	0.0337478839149	0.035688145746	0.0379223551671	0.0405699608456	0.043853241171	0.0481097684642	0.053304227467	0.0596007302614	0.066716754782	0.0745640128836	0.0842642833548	0.0962351171894	0.111273185064	0.128341880284	0.146692311638	0.16622580414	0.188446372316	0.214711576236	0.244020124462	0.275298017674	0.308182755131
